N,Name,NameTrimmed,Parent,VTAddr,Size,ID,VTSize,CtorName
232,        CTaskComplexTreatAccident,CTaskComplexTreatAccident,CTaskComplex,0x86F4EC,0x10,0x065,0x2C,_ZN25CTaskComplexTreatAccidentC2EP9CAccident
233,        CTaskComplexMedicTreatInjuredPed,CTaskComplexMedicTreatInjuredPed,CTaskComplex,0x86F518,0x2C,0x064,0x2C,_ZN32CTaskComplexMedicTreatInjuredPedC2EP8CVehicleP4CPedb
234,        CTaskComplexPresentIDToCop,CTaskComplexPresentIDToCop,CTaskComplex,0x86F544,0x10,0x06A,0x2C,_ZN26CTaskComplexPresentIDToCopC2EP4CPed
235,        CTaskComplexDriveFireTruck,CTaskComplexDriveFireTruck,CTaskComplex,0x86F570,0x1C,0x06B,0x2C,_ZN26CTaskComplexDriveFireTruckC2EP8CVehicleP4CPedb
236,        CTaskComplexUseSwatRope,CTaskComplexUseSwatRope,CTaskComplex,0x86F59C,0x1C,0x06C,0x34,
237,        CTaskComplexUseWaterCannon,CTaskComplexUseWaterCannon,CTaskComplex,0x86F5D0,0x10,0x06D,0x2C,_ZN26CTaskComplexUseWaterCannonC2EP5CFire
238,        CTaskComplexExtinguishFireOnFoot,CTaskComplexExtinguishFireOnFoot,CTaskComplex,0x86F5FC,0x18,0x06E,0x2C,_ZN32CTaskComplexExtinguishFireOnFootC2ERK7CVector
239,        CTaskComplexFleePoint,CTaskComplexFleePoint,CTaskComplex,0x86F6CC,0x3C,0x38C,0x2C,_ZN21CTaskComplexFleePointC2ERK7CVectorbfi
240,        CTaskComplexFleeEntity,CTaskComplexFleeEntity,CTaskComplex,0x86F708,0x3C,0x38D,0x2C,_ZN22CTaskComplexFleeEntityC2EP7CEntitybfiif
241,        CTaskComplexSmartFleePoint,CTaskComplexSmartFleePoint,CTaskComplex,0x86F744,0x44,0x38E,0x2C,_ZN26CTaskComplexSmartFleePointC2ERK7CVectorbfi
