N,Name,NameTrimmed,Parent,VTAddr,Size,ID,VTSize,CtorName
31,        CTaskSimpleGunControl,CTaskSimpleGunControl,CTaskSimple,0x86D76C,0x3C,0x3FC,0x24,_ZN21CTaskSimpleGunControlC2EP7CEntityPK7CVectorS4_asi
32,        CTaskSimpleThrowProjectile,CTaskSimpleThrowProjectile,CTaskSimple,0x86D790,0x24,0x3FA,0x24,_ZN26CTaskSimpleThrowProjectileC2EP7CEntity7CVector
33,        CTaskSimpleThrowControl,CTaskSimpleThrowControl,CTaskSimple,0x86D7B4,0x1C,0x3FD,0x24,_ZN23CTaskSimpleThrowControlC2EP7CEntityPK7CVector
34,        CTaskSimpleBeKickedOnGround,CTaskSimpleBeKickedOnGround,CTaskSimple,0x86D7D8,0x10,0x3EF,0x24,_ZN27CTaskSimpleBeKickedOnGroundC2Ev
35,        CTaskSimpleBeHitWhileMoving,CTaskSimpleBeHitWhileMoving,CTaskSimple,0x86D7FC,0x18,0x3F1,0x24,_ZN27CTaskSimpleBeHitWhileMovingC2Eii
36,        CTaskSimpleChoking,CTaskSimpleChoking,CTaskSimple,0x86D820,0x1C,0x107,0x24,_ZN18CTaskSimpleChokingC2EP4CPedh
37,        CTaskSimpleBeHit,CTaskSimpleBeHit,CTaskSimple,0x86D844,0x28,0x3F0,0x24,_ZN16CTaskSimpleBeHitC2EP4CPed14ePedPieceTypesii
38,        CTaskSimpleGangDriveBy,CTaskSimpleGangDriveBy,CTaskSimple,0x86D944,0x44,0x3FE,0x24,_ZN22CTaskSimpleGangDriveByC2EP7CEntityPK7CVectorfaab
39,        CTaskSimpleStealthKill,CTaskSimpleStealthKill,CTaskSimple,0x86DA74,0x20,0x403,0x24,_ZN22CTaskSimpleStealthKillC2EbP4CPed12AssocGroupId
40,        CTaskSimpleIKChain,CTaskSimpleIKChain,CTaskSimple,0x86DB48,0x58,0x108,0x28,_ZN18CTaskSimpleIKChainC2EPci5RwV3diP7CEntityiS1_fii
41,            CTaskSimpleIKLookAt,CTaskSimpleIKLookAt,CTaskSimpleIKChain,0x86E37C,0x5C,0x10A,0x28,_ZN19CTaskSimpleIKLookAtC2EPcP7CEntityii5RwV3dhfii
42,            CTaskSimpleIKPointArm,CTaskSimpleIKPointArm,CTaskSimpleIKChain,0x86E3A4,0x5C,0x110,0x28,_ZN21CTaskSimpleIKPointArmC2EPciP7CEntityi5RwV3dfi
43,        CTaskSimpleStandStill,CTaskSimpleStandStill,CTaskSimple,0x86DD2C,0x20,0x0CB,0x24,_ZN21CTaskSimpleStandStillC2Eibbf
44,            CTaskSimpleWaitUntilAreaCodesMatch,CTaskSimpleWaitUntilAreaCodesMatch,CTaskSimpleStandStill,0x86E544,0x24,0x51B,0x24,_ZN34CTaskSimpleWaitUntilAreaCodesMatchC2EP4CPed
45,                CTaskSimpleWaitUntilLeaderAreaCodesMatch,CTaskSimpleWaitUntilLeaderAreaCodesMatch,CTaskSimpleWaitUntilAreaCodesMatch,0x86C7E8,0x38,0x116,0x24,
46,            CTaskSimpleOnEscalator,CTaskSimpleOnEscalator,CTaskSimpleStandStill,0x85B8DC,0x20,0x51C,0x24,
47,        CTaskSimpleSetStayInSamePlace,CTaskSimpleSetStayInSamePlace,CTaskSimple,0x86DD50,0x0C,0x0CC,0x24,_ZN29CTaskSimpleSetStayInSamePlaceC2Eb
48,        CTaskSimpleSetKindaStayInSamePlace,CTaskSimpleSetKindaStayInSamePlace,CTaskSimple,0x86DD74,0x0C,0x114,0x24,_ZN34CTaskSimpleSetKindaStayInSamePlaceC2Eb
49,        CTaskSimpleDuckToggle,CTaskSimpleDuckToggle,CTaskSimple,0x86DD98,0x0C,0x51A,0x24,_ZN21CTaskSimpleDuckToggleC2Ei
50,        CTaskSimpleDie,CTaskSimpleDie,CTaskSimple,0x86DDBC,0x28,0x0D4,0x24,
51,            CTaskSimpleDieInCar,CTaskSimpleDieInCar,CTaskSimpleDie,0x86DDE0,0x28,0x0D6,0x24,_ZN19CTaskSimpleDieInCarC2E12AssocGroupId11AnimationId
52,            CTaskSimpleDrown,CTaskSimpleDrown,CTaskSimpleDie,0x86DE30,0x2C,0x0D5,0x24,_ZN16CTaskSimpleDrownC2Ev
53,        CTaskSimpleDrownInCar,CTaskSimpleDrownInCar,CTaskSimple,0x86DE54,0x08,0x0D8,0x24,_ZN21CTaskSimpleDrownInCarC2Ev
54,        CTaskSimpleDead,CTaskSimpleDead,CTaskSimple,0x86DEA4,0x10,0x0DA,0x24,_ZN15CTaskSimpleDeadC2Eib
55,        CTaskSimpleTired,CTaskSimpleTired,CTaskSimple,0x86DED0,0x1C,0x0DB,0x24,_ZN16CTaskSimpleTiredC2Ei
56,        CTaskSimpleSitDown,CTaskSimpleSitDown,CTaskSimple,0x86DEF4,0x10,0x0DC,0x24,_ZN18CTaskSimpleSitDownC2Eh
57,        CTaskSimpleSitIdle,CTaskSimpleSitIdle,CTaskSimple,0x86DF18,0x20,0x0DD,0x24,_ZN18CTaskSimpleSitIdleC2Eih
58,        CTaskSimpleStandUp,CTaskSimpleStandUp,CTaskSimple,0x86DF3C,0x10,0x0DE,0x24,_ZN18CTaskSimpleStandUpC2Eh
59,        CTaskSimpleTurn180,CTaskSimpleTurn180,CTaskSimple,0x86E01C,0x10,0x0E4,0x24,_ZN18CTaskSimpleTurn180C2Ev
60,        CTaskSimpleWaitForBus,CTaskSimpleWaitForBus,CTaskSimple,0x86E1B8,0x0C,0x0EE,0x24,_ZN21CTaskSimpleWaitForBusC2Ev
61,        CTaskSimpleWaitForPizza,CTaskSimpleWaitForPizza,CTaskSimple,0x86E1DC,0x14,0x0EF,0x24,_ZN23CTaskSimpleWaitForPizzaC2Ev
62,        CTaskSimplePlayerOnFire,CTaskSimplePlayerOnFire,CTaskSimple,0x86E334,0x18,0x0FF,0x24,_ZN23CTaskSimplePlayerOnFireC2Ev
63,        CTaskSimpleIKManager,CTaskSimpleIKManager,CTaskSimple,0x86E358,0x1C,0x109,0x24,_ZN20CTaskSimpleIKManagerC2Ev
64,        CTaskSimpleTriggerLookAt,CTaskSimpleTriggerLookAt,CTaskSimple,0x86E3CC,0x30,0x10D,0x24,_ZN24CTaskSimpleTriggerLookAtC2EP7CEntityii5RwV3dhfii
65,        CTaskSimpleClearLookAt,CTaskSimpleClearLookAt,CTaskSimple,0x86E404,0x08,0x10E,0x24,_ZN22CTaskSimpleClearLookAtC2Ev
66,        CTaskSimpleCarDrive,CTaskSimpleCarDrive,CTaskSimple,0x86E904,0x60,0x2C5,0x24,_ZN19CTaskSimpleCarDriveC2EP8CVehicleP28CTaskUtilityLineUpPedWithCarb
67,            CTaskSimpleCarDriveTimed,CTaskSimpleCarDriveTimed,CTaskSimpleCarDrive,0x859E50,0x70,0x2CF,0x24,_ZN24CTaskSimpleCarDriveTimedC2EP8CVehiclei
68,            CTaskSimpleCarSetTempAction,CTaskSimpleCarSetTempAction,CTaskSimpleCarDrive,0x86EA6C,0x68,0x2D3,0x24,_ZN27CTaskSimpleCarSetTempActionC2EP8CVehicleii
69,        CTaskSimpleCarAlign,CTaskSimpleCarAlign,CTaskSimple,0x86EC78,0x28,0x321,0x24,_ZN19CTaskSimpleCarAlignC2EP8CVehicleRK7CVectoriP28CTaskUtilityLineUpPedWithCar
70,        CTaskSimpleCarOpenDoorFromOutside,CTaskSimpleCarOpenDoorFromOutside,CTaskSimple,0x86EC9C,0x24,0x322,0x24,_ZN33CTaskSimpleCarOpenDoorFromOutsideC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCarb
71,        CTaskSimpleCarOpenLockedDoorFromOutside,CTaskSimpleCarOpenLockedDoorFromOutside,CTaskSimple,0x86ECC0,0x1C,0x323,0x24,_ZN39CTaskSimpleCarOpenLockedDoorFromOutsideC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCar
72,        CTaskSimplePickUpBike,CTaskSimplePickUpBike,CTaskSimple,0x86ECE4,0x1C,0x324,0x24,_ZN21CTaskSimplePickUpBikeC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCar
73,        CTaskSimpleCarCloseDoorFromInside,CTaskSimpleCarCloseDoorFromInside,CTaskSimple,0x86ED08,0x1C,0x325,0x24,_ZN33CTaskSimpleCarCloseDoorFromInsideC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCar
74,        CTaskSimpleCarCloseDoorFromOutside,CTaskSimpleCarCloseDoorFromOutside,CTaskSimple,0x86ED2C,0x1C,0x326,0x24,_ZN34CTaskSimpleCarCloseDoorFromOutsideC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCar
75,        CTaskSimpleCarGetIn,CTaskSimpleCarGetIn,CTaskSimple,0x86ED50,0x24,0x327,0x24,_ZN19CTaskSimpleCarGetInC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCar
76,        CTaskSimpleCarShuffle,CTaskSimpleCarShuffle,CTaskSimple,0x86ED74,0x1C,0x328,0x24,_ZN21CTaskSimpleCarShuffleC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCar
77,        CTaskSimpleCarWaitToSlowDown,CTaskSimpleCarWaitToSlowDown,CTaskSimple,0x86ED98,0x14,0x329,0x24,_ZN28CTaskSimpleCarWaitToSlowDownC2EP8CVehiclei
78,        CTaskSimpleCarWaitForDoorNotToBeInUse,CTaskSimpleCarWaitForDoorNotToBeInUse,CTaskSimple,0x86EDBC,0x14,0x32A,0x24,_ZN37CTaskSimpleCarWaitForDoorNotToBeInUseC2EP8CVehicleii
79,        CTaskSimpleCarGoToPointNearDoorUntilDoorNotInUse,CTaskSimpleCarGoToPointNearDoorUntilDoorNotInUse,CTaskSimple,0x86EDE0,0x10,0x33C,0x24,_ZN48CTaskSimpleCarGoToPointNearDoorUntilDoorNotInUseC2EP8CVehicleiRK7CVectori
80,        CTaskSimpleCarSetPedInAsPassenger,CTaskSimpleCarSetPedInAsPassenger,CTaskSimple,0x86EE04,0x20,0x32B,0x24,_ZN33CTaskSimpleCarSetPedInAsPassengerC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCar
81,        CTaskSimpleCarSetPedInAsDriver,CTaskSimpleCarSetPedInAsDriver,CTaskSimple,0x86EE28,0x1C,0x32C,0x24,_ZN30CTaskSimpleCarSetPedInAsDriverC2EP8CVehicleP28CTaskUtilityLineUpPedWithCar
82,        CTaskSimpleCarGetOut,CTaskSimpleCarGetOut,CTaskSimple,0x86EE4C,0x20,0x32D,0x24,_ZN20CTaskSimpleCarGetOutC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCar
83,        CTaskSimpleCarJumpOut,CTaskSimpleCarJumpOut,CTaskSimple,0x86EE70,0x24,0x32E,0x24,_ZN21CTaskSimpleCarJumpOutC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCar
84,        CTaskSimpleCarForcePedOut,CTaskSimpleCarForcePedOut,CTaskSimple,0x86EE94,0x10,0x32F,0x24,_ZN25CTaskSimpleCarForcePedOutC2EP8CVehiclei
85,        CTaskSimpleCarSetPedOut,CTaskSimpleCarSetPedOut,CTaskSimple,0x86EEB8,0x18,0x330,0x24,_ZN23CTaskSimpleCarSetPedOutC2EP8CVehicleib
86,        CTaskSimpleCarSlowDragPedOut,CTaskSimpleCarSlowDragPedOut,CTaskSimple,0x86EEE8,0x20,0x334,0x24,_ZN28CTaskSimpleCarSlowDragPedOutC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCarb
87,        CTaskSimpleCarSlowBeDraggedOut,CTaskSimpleCarSlowBeDraggedOut,CTaskSimple,0x86EF0C,0x20,0x335,0x24,_ZN30CTaskSimpleCarSlowBeDraggedOutC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCarb
88,        CTaskSimpleCarSetPedSlowDraggedOut,CTaskSimpleCarSetPedSlowDraggedOut,CTaskSimple,0x86EF30,0x10,0x336,0x24,_ZN34CTaskSimpleCarSetPedSlowDraggedOutC2EP8CVehiclei
89,        CTaskSimpleBikeJacked,CTaskSimpleBikeJacked,CTaskSimple,0x86EFAC,0x2C,0x33A,0x24,_ZN21CTaskSimpleBikeJackedC2EP8CVehicleiiP4CPedb
90,        CTaskSimpleCarFallOut,CTaskSimpleCarFallOut,CTaskSimple,0x86EFD0,0x1C,0x342,0x24,_ZN21CTaskSimpleCarFallOutC2EP8CVehicleiP28CTaskUtilityLineUpPedWithCar
91,        CTaskSimpleSetPedAsAutoDriver,CTaskSimpleSetPedAsAutoDriver,CTaskSimple,0x86EFF4,0x0C,0x33B,0x24,_ZN29CTaskSimpleSetPedAsAutoDriverC2EP8CVehicle
92,        CTaskSimpleCreateCarAndGetIn,CTaskSimpleCreateCarAndGetIn,CTaskSimple,0x86F070,0x34,0x340,0x24,_ZN28CTaskSimpleCreateCarAndGetInC2ERK7CVectori
93,        CTaskSimpleWaitUntilPedIsOutCar,CTaskSimpleWaitUntilPedIsOutCar,CTaskSimple,0x86F094,0x1C,0x33D,0x24,_ZN31CTaskSimpleWaitUntilPedIsOutCarC2EP4CPedRK7CVector
94,        CTaskSimpleWaitUntilPedIsInCar,CTaskSimpleWaitUntilPedIsInCar,CTaskSimple,0x86F0B8,0x10,0x341,0x24,_ZN30CTaskSimpleWaitUntilPedIsInCarC2EP4CPed
95,        CTaskSimpleHitHead,CTaskSimpleHitHead,CTaskSimple,0x86F1D0,0x10,0x1F4,0x24,_ZN18CTaskSimpleHitHeadC2Ev
96,        CTaskSimpleEvasiveStep,CTaskSimpleEvasiveStep,CTaskSimple,0x86F1F4,0x14,0x1F5,0x24,_ZN22CTaskSimpleEvasiveStepC2EP7CEntity
97,        CTaskSimpleEvasiveDive,CTaskSimpleEvasiveDive,CTaskSimple,0x86F244,0x14,0x1F7,0x24,_ZN22CTaskSimpleEvasiveDiveC2EP8CVehicle
98,        CTaskSimpleKillPedWithCar,CTaskSimpleKillPedWithCar,CTaskSimple,0x86F2C0,0x10,0x1FA,0x24,_ZN25CTaskSimpleKillPedWithCarC2EP8CVehiclef
99,        CTaskSimpleHurtPedWithCar,CTaskSimpleHurtPedWithCar,CTaskSimple,0x86F2E4,0x14,0x1FB,0x24,_ZN25CTaskSimpleHurtPedWithCarC2EP8CVehiclef
100,        CTaskSimpleGiveCPR,CTaskSimpleGiveCPR,CTaskSimple,0x86F4C8,0x18,0x066,0x24,_ZN18CTaskSimpleGiveCPRC2EP9CAccident
101,        CTaskSimpleGoTo,CTaskSimpleGoTo,CTaskSimple,0x86FD1C,,none,0x24,_ZN15CTaskSimpleGoToC2EiRK7CVectorf
102,            CTaskSimpleGoToPointFine,CTaskSimpleGoToPointFine,CTaskSimpleGoTo,0x86F964,0x24,0x39E,0x24,_ZN24CTaskSimpleGoToPointFineC2Ef7CVectorfP7CEntity
103,            CTaskSimpleGoToPoint,CTaskSimpleGoToPoint,CTaskSimpleGoTo,0x86FD50,0x30,0x384,0x24,_ZN20CTaskSimpleGoToPointC2EiRK7CVectorfbb
104,        CTaskSimpleDoHandSignal,CTaskSimpleDoHandSignal,CTaskSimple,0x86FA68,0x0C,0x4BE,0x24,_ZN23CTaskSimpleDoHandSignalC2Ev
105,        CTaskLeanOnVehicle,CTaskLeanOnVehicle,CTaskSimple,0x86FAF4,0x2C,0x4C1,0x24,_ZN18CTaskLeanOnVehicleC2EP7CEntityih
106,        CTaskSimpleAchieveHeading,CTaskSimpleAchieveHeading,CTaskSimple,0x86FD74,0x18,0x386,0x24,_ZN25CTaskSimpleAchieveHeadingC2Efff
107,        CTaskInteriorSitInChair,CTaskInteriorSitInChair,CTaskSimple,0x870314,0x2C,0x57F,0x24,_ZN23CTaskInteriorSitInChairC2EiP14InteriorInfo_th
108,        CTaskInteriorLieInBed,CTaskInteriorLieInBed,CTaskSimple,0x870338,0x30,0x57E,0x24,_ZN21CTaskInteriorLieInBedC2EiP14InteriorInfo_thh
109,        CTaskInteriorSitAtDesk,CTaskInteriorSitAtDesk,CTaskSimple,0x87035C,0x38,0x580,0x24,_ZN22CTaskInteriorSitAtDeskC2EiP14InteriorInfo_th
110,        CTaskSimpleGetUp,CTaskSimpleGetUp,CTaskSimple,0x8703E0,0x10,0x0CD,0x24,_ZN16CTaskSimpleGetUpC2Ev
111,        CTaskSimpleFall,CTaskSimpleFall,CTaskSimple,0x870430,0x20,0x0CF,0x24,_ZN15CTaskSimpleFallC2E11AnimationId12AssocGroupIdj
112,        CTaskSimpleInAir,CTaskSimpleInAir,CTaskSimple,0x8704D8,0x3C,0x0F1,0x24,_ZN16CTaskSimpleInAirC2Ebbb
113,        CTaskSimpleLand,CTaskSimpleLand,CTaskSimple,0x8704FC,0x14,0x0F2,0x24,_ZN15CTaskSimpleLandC2E11AnimationId
114,        CTaskSimpleJump,CTaskSimpleJump,CTaskSimple,0x87054C,0x2C,0x0D2,0x24,_ZN15CTaskSimpleJumpC2Eb
115,        CTaskSimpleClimb,CTaskSimpleClimb,CTaskSimple,0x87059C,0x30,0x0FE,0x24,_ZN16CTaskSimpleClimbC2EP7CEntityRK7CVectorfhab
116,        CTaskSimpleJetPack,CTaskSimpleJetPack,CTaskSimple,0x8705C4,0x70,0x517,0x24,_ZN18CTaskSimpleJetPackC2EPK7CVectorfiP7CEntity
117,        CTaskSimplePlayerOnFoot,CTaskSimplePlayerOnFoot,CTaskSimple,0x8708EC,0x1C,0x000,0x24,_ZN23CTaskSimplePlayerOnFootC2Ev
118,        CTaskSimpleSwim,CTaskSimpleSwim,CTaskSimple,0x870920,0x64,0x518,0x24,_ZN15CTaskSimpleSwimC2EPK7CVectorP4CPed
119,        CTaskSimpleArrestPed,CTaskSimpleArrestPed,CTaskSimple,0x870984,0x14,0x44C,0x24,_ZN20CTaskSimpleArrestPedC2EP4CPed
120,        CTaskSimpleShakeFist,CTaskSimpleShakeFist,CTaskSimple,0x870A94,0x10,0x12E,0x24,_ZN20CTaskSimpleShakeFistC2Ev
121,        CTaskSimpleFacial,CTaskSimpleFacial,CTaskSimple,0x870AB8,0x1C,0x12F,0x24,_ZN17CTaskSimpleFacialC2Eii
122,        CTaskSimpleAffectSecondaryBehaviour,CTaskSimpleAffectSecondaryBehaviour,CTaskSimple,0x870B08,0x14,0x132,0x24,_ZN35CTaskSimpleAffectSecondaryBehaviourC2EbiP5CTask
123,        CTaskSimpleHoldEntity,CTaskSimpleHoldEntity,CTaskSimple,0x870B2C,0x3C,0x133,0x24,
124,            CTaskSimplePickUpEntity,CTaskSimplePickUpEntity,CTaskSimpleHoldEntity,0x870B50,0x4C,0x134,0x24,
125,            CTaskSimplePutDownEntity,CTaskSimplePutDownEntity,CTaskSimpleHoldEntity,0x870B74,0x40,0x135,0x24,
126,        CTaskSimpleDuck,CTaskSimpleDuck,CTaskSimple,0x870BC4,0x28,0x19F,0x24,_ZN15CTaskSimpleDuckC2Ehts
127,            CTaskSimpleDuckWhileShotsWhizzing,CTaskSimpleDuckWhileShotsWhizzing,CTaskSimpleDuck,0x870BEC,0x28,0x137,0x24,_ZN33CTaskSimpleDuckWhileShotsWhizzingC2Et
128,        CTaskSimpleUninterruptable,CTaskSimpleUninterruptable,CTaskSimple,0x859580,0x08,0x0C9,0x24,
129,        CTaskSimpleNone,CTaskSimpleNone,CTaskSimple,0x859CFC,0x08,0x0C8,0x24,
130,            CTaskSimpleFinishBrain,CTaskSimpleFinishBrain,CTaskSimpleNone,0x859D20,0x08,0x709,0x24,
131,        CTaskSimpleSetCharDecisionMaker,CTaskSimpleSetCharDecisionMaker,CTaskSimple,0x859DA0,0x0C,0x10F,0x24,
132,        CTaskSimpleSetCharIgnoreWeaponRangeFlag,CTaskSimpleSetCharIgnoreWeaponRangeFlag,CTaskSimple,0x859EBC,0x0C,0x409,0x24,
133,        CTaskSimplePause,CTaskSimplePause,CTaskSimple,0x85A278,0x18,0x0CA,0x24,
134,        CTaskSimpleTogglePedThreatScanner,CTaskSimpleTogglePedThreatScanner,CTaskSimple,0x85A334,0x0C,0x515,0x24,
135,    CTaskComplex,CTaskComplex,CTask,0x86D4CC,0x0C,none,0x2C,_ZN12CTaskComplexC2Ev
136,        CTaskComplexPlayHandSignalAnim,CTaskComplexPlayHandSignalAnim,CTaskComplex,0x86D5DC,0x18,0x1AA,0x2C,_ZN30CTaskComplexPlayHandSignalAnimC2E11AnimationIdf
137,        CTaskComplexKillPedOnFoot,CTaskComplexKillPedOnFoot,CTaskComplex,0x86D894,0x38,0x3E8,0x2C,_ZN25CTaskComplexKillPedOnFootC2EP4CPedijjji
138,            CTaskComplexKillPedOnFootStealth,CTaskComplexKillPedOnFootStealth,CTaskComplexKillPedOnFoot,0x86D8C0,0x48,0x404,0x2C,_ZN32CTaskComplexKillPedOnFootStealthC2EP4CPed
139,        CTaskComplexKillPedOnFootMelee,CTaskComplexKillPedOnFootMelee,CTaskComplex,0x86D8EC,0x38,0x3E9,0x2C,_ZN30CTaskComplexKillPedOnFootMeleeC2EP4CPed
140,        CTaskComplexKillPedOnFootArmed,CTaskComplexKillPedOnFootArmed,CTaskComplex,0x86D918,0x5C,0x3EA,0x2C,_ZN30CTaskComplexKillPedOnFootArmedC2EP4CPedjjji
141,        CTaskComplexDestroyCar,CTaskComplexDestroyCar,CTaskComplex,0x86D968,0x20,0x3EB,0x2C,_ZN22CTaskComplexDestroyCarC2EP8CVehiclejjj
142,        CTaskComplexDestroyCarMelee,CTaskComplexDestroyCarMelee,CTaskComplex,0x86D994,0x34,0x3EC,0x2C,_ZN27CTaskComplexDestroyCarMeleeC2EP8CVehicle
143,        CTaskComplexDestroyCarArmed,CTaskComplexDestroyCarArmed,CTaskComplex,0x86D9C4,0x64,0x3ED,0x2C,_ZN27CTaskComplexDestroyCarArmedC2EP8CVehiclejjj
144,        CTaskComplexRoadRage,CTaskComplexRoadRage,CTaskComplex,0x86D9F0,0x10,0x407,0x2C,_ZN20CTaskComplexRoadRageC2EP4CPed
145,        CTaskComplexKillAllThreats,CTaskComplexKillAllThreats,CTaskComplex,0x86DA1C,0x18,0x3F6,0x2C,_ZN26CTaskComplexKillAllThreatsC2Ejjj
146,        CTaskComplexKillPedGroupOnFoot,CTaskComplexKillPedGroupOnFoot,CTaskComplex,0x86DA48,0x14,0x3F7,0x2C,_ZN30CTaskComplexKillPedGroupOnFootC2EiP4CPed
147,        CTaskComplexKillPedFromBoat,CTaskComplexKillPedFromBoat,CTaskComplex,0x86DA98,0x10,0x408,0x2C,_ZN27CTaskComplexKillPedFromBoatC2EP4CPed
148,        CTaskComplexSeekCoverUntilTargetDead,CTaskComplexSeekCoverUntilTargetDead,CTaskComplex,0x86DAC4,0x18,0x40A,0x2C,
149,        CTaskComplexLeaveCar,CTaskComplexLeaveCar,CTaskComplex,0x86E828,0x34,0x2C0,0x2C,_ZN20CTaskComplexLeaveCarC2EP8CVehicleiibb
150,            CTaskComplexLeaveCarAndDie,CTaskComplexLeaveCarAndDie,CTaskComplexLeaveCar,0x86DD00,0x34,0x2C1,0x2C,
151,        CTaskComplexDieInCar,CTaskComplexDieInCar,CTaskComplex,0x86DE04,0x1C,0x0D7,0x2C,_ZN20CTaskComplexDieInCarC2E11eWeaponType
152,        CTaskComplexDie,CTaskComplexDie,CTaskComplex,0x86DE78,0x28,0x0D9,0x2C,_ZN15CTaskComplexDieC2E11eWeaponType12AssocGroupId11AnimationIdffbbib
153,        CTaskComplexSitDownThenIdleThenStandUp,CTaskComplexSitDownThenIdleThenStandUp,CTaskComplex,0x86DF60,0x14,0x0DF,0x2C,_ZN38CTaskComplexSitDownThenIdleThenStandUpC2Eihh
154,        CTaskComplexObserveTrafficLights,CTaskComplexObserveTrafficLights,CTaskComplex,0x86DF98,0x18,0x0E0,0x2C,_ZN32CTaskComplexObserveTrafficLightsC2Ev
155,        CTaskComplexObserveTrafficLightsAndAchieveHeading,CTaskComplexObserveTrafficLightsAndAchieveHeading,CTaskComplex,0x86DFC4,0x14,0x0E1,0x2C,_ZN49CTaskComplexObserveTrafficLightsAndAchieveHeadingC2Eif
156,        CTaskComplexCrossRoadLookAndAchieveHeading,CTaskComplexCrossRoadLookAndAchieveHeading,CTaskComplex,0x86DFF0,0x14,0x0E3,0x2C,_ZN42CTaskComplexCrossRoadLookAndAchieveHeadingC2Eif
157,        CTaskComplexHitResponse,CTaskComplexHitResponse,CTaskComplex,0x86E040,0x10,0x0E6,0x2C,_ZN23CTaskComplexHitResponseC2Ei
158,        CTaskComplexHitByGunResponse,CTaskComplexHitByGunResponse,CTaskComplex,0x86E06C,0x10,0x0E7,0x2C,_ZN28CTaskComplexHitByGunResponseC2Ei
159,        CTaskComplexSunbathe,CTaskComplexSunbathe,CTaskComplex,0x86E0AC,0x38,0x1A1,0x2C,_ZN20CTaskComplexSunbatheC2EP7CObjectb
160,        CTaskComplexUseEffect,CTaskComplexUseEffect,CTaskComplex,0x86E0D8,0x24,0x0E9,0x2C,_ZN21CTaskComplexUseEffectC2EP9C2dEffectP7CEntity
161,            CTaskComplexUseEffectRunning,CTaskComplexUseEffectRunning,CTaskComplexUseEffect,0x86E594,0x24,0x103,0x2C,
162,            CTaskComplexUseEffectSprinting,CTaskComplexUseEffectSprinting,CTaskComplexUseEffect,0x86E5C0,0x24,0x104,0x2C,
163,        CTaskComplexWaitAtAttractor,CTaskComplexWaitAtAttractor,CTaskComplex,0x86E108,0x14,0x0EA,0x2C,_ZN27CTaskComplexWaitAtAttractorC2EP13CPedAttractori
164,        CTaskComplexUseAttractor,CTaskComplexUseAttractor,CTaskComplex,0x86E134,0x10,0x0EB,0x2C,_ZN24CTaskComplexUseAttractorC2EP13CPedAttractor
165,        CTaskComplexWaitForDryWeather,CTaskComplexWaitForDryWeather,CTaskComplex,0x86E160,0x0C,0x0EC,0x2C,_ZN29CTaskComplexWaitForDryWeatherC2Ev
166,        CTaskComplexWaitForBus,CTaskComplexWaitForBus,CTaskComplex,0x86E18C,0x10,0x0ED,0x2C,_ZN22CTaskComplexWaitForBusC2Ev
167,        CTaskComplexSequence,CTaskComplexSequence,CTaskComplex,0x86E200,0x40,0x0F4,0x2C,_ZN20CTaskComplexSequenceC2Ev
168,        CTaskComplexBeInGroup,CTaskComplexBeInGroup,CTaskComplex,0x86E22C,0x28,0x0F3,0x2C,_ZN21CTaskComplexBeInGroupC2Eib
169,        CTaskComplexUsePairedAttractor,CTaskComplexUsePairedAttractor,CTaskComplex,0x86E258,0x24,0x0F6,0x2C,_ZN30CTaskComplexUsePairedAttractorC2EP13CPedAttractor
170,        CTaskComplexAttractorPartnerWait,CTaskComplexAttractorPartnerWait,CTaskComplex,0x86E284,0x14,0x0F8,0x2C,_ZN32CTaskComplexAttractorPartnerWaitC2EbPK19CScriptedEffectPair
171,        CTaskComplexUseAttractorPartner,CTaskComplexUseAttractorPartner,CTaskComplex,0x86E2B0,0x14,0x0F7,0x2C,_ZN31CTaskComplexUseAttractorPartnerC2EbPK19CScriptedEffectPair
172,        CTaskComplexUseScriptedAttractor,CTaskComplexUseScriptedAttractor,CTaskComplex,0x86E2DC,0x10,0x0F9,0x2C,_ZN32CTaskComplexUseScriptedAttractorC2EPK13CPedAttractor
173,        CTaskComplexOnFire,CTaskComplexOnFire,CTaskComplex,0x86E308,0x0C,0x0FA,0x2C,_ZN18CTaskComplexOnFireC2Ev
174,        CTaskComplexUseClosestFreeScriptedAttractor,CTaskComplexUseClosestFreeScriptedAttractor,CTaskComplex,0x86E428,0x10,0x102,0x2C,_ZN43CTaskComplexUseClosestFreeScriptedAttractorC2Eb
175,            CTaskComplexUseClosestFreeScriptedAttractorRun,CTaskComplexUseClosestFreeScriptedAttractorRun,CTaskComplexUseClosestFreeScriptedAttractor,0x85B904,0x10,0x105,0x2C,
